Series Code,Country Code,Visits
country.visits,AFG, 1
country.visits,ZAF, 1
country.visits,ARG, 1
country.visits,ABW, 1
country.visits,AUS, 1
country.visits,AUT, 5
country.visits,BHS, 4
country.visits,BRB, 1
country.visits,BEL, 5
country.visits,BLZ, 1
country.visits,VIR, 1
country.visits,CAN, 11
country.visits,CYM, 1
country.visits,CHN, 1
country.visits,COL, 1
country.visits,CRI, 3
country.visits,CZE, 2
country.visits,DNK, 2
country.visits,DOM, 1
country.visits,EGY, 1
country.visits,GBR, 9
country.visits,FRA, 8
country.visits,DEU, 5
country.visits,GIB, 1
country.visits,CYM, 1
country.visits,GRC, 2
country.visits,HND, 1
country.visits,IRL, 1
country.visits,ISR, 1
country.visits,ITA, 8
country.visits,JAM, 5
country.visits,JPN, 2
country.visits,HKJ, 2
country.visits,ROK, 1
country.visits,KWT, 2
country.visits,LBN, 1
country.visits,LIE, 1
country.visits,MYS, 1
country.visits,MEX, 12
country.visits,MAR, 3
country.visits,NLD, 5
country.visits,NOR, 2
country.visits,PHL, 2
country.visits,POL, 1
country.visits,PRT, 1
country.visits,QAT, 1
country.visits,SCT, 2
country.visits,ESP, 1
country.visits,LCA, 1
country.visits,SXM, 1
country.visits,SWE, 1
country.visits,CHE, 2
country.visits,THA, 1
country.visits,TUR, 4
country.visits,USA, 25
country.visits,ARE, 1
country.visits,VEN, 1